TIME_START=21_08
0,9,66
1,4,67
2,4,66
3,1,66
4,2,65
5,0,65
6,0,67
7,0,65
8,0,65
9,0,66
10,1,66
11,8,67
12,3,68
13,6,68
14,4,68
15,5,69
16,5,71
17,4,71
18,7,72
19,3,72
20,3,71
21,3,70
22,4,70
23,5,66
24,5,68
25,1,68
26,2,69
27,12,71
28,8,73
29,7,73
30,2,73
31,14,74
32,10,0
*33*,Stream live
33,22,68
34,15,68
35,25,68
36,16,139
37,24,139
38,26,179
39,20,205
40,16,247
41,17,247
42,28,247
43,47,301
44,17,301
45,31,330
46,28,360
47,38,360
48,40,394
49,53,433
50,32,486
51,37,486
52,34,519
53,66,598
54,23,598
55,47,616
56,29,616
57,60,678
58,39,709
59,74,709
60,65,777
61,64,777
62,81,782
63,60,803
64,45,819
*65*,Oregon Trail Start
65,38,836
66,40,875
67,45,875
68,31,933
69,68,933
70,79,959
71,25,959
72,40,976
73,31,996
74,88,996
75,26,1025
76,50,1025
77,58,1058
78,40,1073
79,49,1103
80,63,1103
81,16,1100
82,37,1100
83,47,1099
84,32,1129
85,52,1129
86,46,1129
87,37,1142
88,29,1142
89,35,1147
90,43,1147
91,33,1147
92,84,1182
93,67,1199
94,89,1199
95,63,1214
96,46,1211
97,23,1240
98,42,1246
99,21,1245
100,30,1245
101,35,1259
102,20,1259
103,22,1283
104,48,1296
105,65,1295
106,86,1295
107,24,1327
108,19,1327
109,59,1345
110,54,1357
111,72,1373
112,46,1372
113,64,1369
114,29,1369
115,99,1369
116,61,1421
117,31,1424
118,28,1414
119,117,1414
120,92,1438
121,77,1438
122,130,1447
123,86,1460
124,63,1472
125,78,1464
126,36,1464
127,33,1490
128,36,1490
129,38,1499
130,20,1499
131,67,1503
132,22,1513
133,27,1504
134,21,1495
135,25,1495
136,38,1503
137,75,1514
138,45,1514
139,104,1514
140,68,1518
141,202,1512
*142*,HONK
142,70,1525
143,186,1525
144,89,1544
145,61,1544
146,26,1544
147,74,1538
148,76,1537
149,56,1537
150,44,1537
151,39,1537
152,37,1547
153,58,1547
154,32,1559
155,27,1577
156,38,1577
157,29,1586
158,46,1586
159,24,1581
160,31,1596
161,28,1596
162,46,1596
163,49,1587
164,32,1577
165,65,1565
166,143,1565
167,82,1590
168,81,1589
169,27,1597
170,48,1597
171,37,1606
172,22,1625
173,32,1625
174,36,1626
175,23,1626
176,24,1619
177,25,1643
178,42,1643
179,94,1650
180,107,1670
181,34,1670
182,38,1705
183,37,1711
184,24,1711
185,48,1711
186,83,1732
187,75,1748
188,42,1748
189,26,1720
190,29,1723
191,32,1723
192,47,1737
193,184,1728
*194*,Oregon Trail Done
194,58,1728
195,52,1741
196,34,1752
197,36,1707
198,24,1707
199,18,1684
200,19,1684
201,24,1659
202,43,1674
203,34,1678
204,28,1693
205,20,1693
206,31,1712
207,39,1687
208,103,1686
209,40,1686
210,114,1688
211,58,1688
212,44,1712
213,53,1725
214,159,1725
215,69,1740
216,66,1740
217,53,1732
218,31,1718
219,66,1716
220,46,1716
221,56,1739
222,44,1739
223,29,1739
224,35,1760
225,48,1774
226,119,1774
227,67,1818
228,45,1950
229,71,1950
230,54,1950
231,28,2169
232,49,2169
233,18,2246
234,63,2246
235,33,2622
236,21,2622
237,35,2745
238,36,2489
239,36,2573
240,29,2539
241,40,2539
242,29,2683
243,48,2683
244,50,2679
245,59,2847
246,19,2847
247,21,2765
248,18,2765
249,39,2702
250,43,2675
251,22,2675
252,39,2829
253,17,2667
254,22,2667
255,45,2682
256,42,2825
257,68,2370
258,31,2370
259,27,2559
260,29,2800
261,34,2800
262,26,2696
263,42,2696
264,21,2502
265,42,1720
266,26,1824
267,77,1824
268,43,1797
269,108,1776
270,90,1776
271,119,1781
272,171,1790
273,64,1790
274,120,1778
275,121,1773
*276*,Miss Popularity Done
276,77,1783
277,43,1786
278,30,1780
279,40,1780
280,43,1753
281,26,1745
282,32,1745
283,64,1749
284,20,1721
285,16,1711
286,26,1711
287,53,1695
288,26,1688
289,28,1690
290,42,1690
291,13,1672
292,16,1672
293,12,1656
294,9,1672
295,18,1680
296,30,1675
297,23,1695
298,31,1695
299,35,1668
300,18,1674
301,20,1668
302,13,1669
303,8,1668
304,12,1668
305,17,1679
306,33,1679
307,25,1679
308,23,1683
309,23,1677
310,12,1677
311,27,1671
312,61,1671
313,41,1674
314,32,1674
315,21,1679
316,17,1673
317,12,1679
318,53,1675
319,21,1664
320,18,1674
321,40,1675
322,14,1678
323,31,1665
324,47,1689
325,38,1689
326,50,1689
327,18,1697
328,21,1716
329,18,1716
330,26,1713
331,34,1725
332,65,1754
333,55,1754
334,63,1774
335,71,1774
336,76,1753
337,44,1753
338,33,1756
339,24,1747
340,28,1762
341,35,1762
342,27,1760
343,30,1804
344,40,1809
345,44,1809
346,26,1806
347,35,1810
348,40,1811
349,35,1811
350,14,1770
351,22,1749
352,67,1765
353,73,1765
354,60,1834
355,91,1869
356,81,1869
357,67,1794
358,56,1838
359,23,1838
360,30,1785
361,33,1822
362,100,1822
363,117,1787
364,106,1844
365,47,1795
366,33,1795
367,58,1667
368,105,1772
369,82,1772
370,34,1655
371,41,1653
372,26,1651
373,20,1635
374,46,1635
375,80,1719
376,44,1716
377,33,1716
378,36,1716
379,23,1684
380,52,1684
381,32,1649
382,63,1716
383,47,1716
384,13,1663
385,27,1676
386,30,1631
387,34,1631
388,47,1663
389,33,1686
390,61,1668
*391*,Game Dev Tycoon done
391,28,1668
392,43,1258
393,22,1258
394,18,1175
395,19,1016
396,23,891
397,13,891
398,22,795
